Num_threads	10	100	10^3	10^4
1	0.0000035053119063	0.0000025281682611	0.0000055557116866	0.0000385815277696
2	0.0118592943996191	0.0117659054696560	0.0116435747593641	0.0115391444414854
3	0.0000418448820710	0.0000189132988453	0.0000240959227085	0.0000524060800672
4	0.0000423578545451	0.0000265553593636	0.0000319218263030	0.0000604169443250
5	0.0000494144856930	0.0000345533713698	0.0000566584989429	0.0000829471275210
6	0.0000789657235146	0.0000428576022387	0.0000583600252867	0.0000828096643090
7	0.0000709241256118	0.0000488655641675	0.0000558346509933	0.0001153109595180
8	0.0000888731330633	0.0000642973929644	0.0000728130340576	0.0000934017822146
9	0.0000810066238046	0.0000645292922854	0.0000969229266047	0.0001239068806171
10	0.0000963797792792	0.0000776637345552	0.0000801015645266	0.0001112842932343
11	0.0000947160646319	0.0001142010092735	0.0001159252598882	0.0001660805195570
12	0.0001415677368641	0.0001106269657612	0.0000990072265267	0.0001284737139940
13	0.0001563161611557	0.0001008963212371	0.0001036524772644	0.0001324227079749
14	0.0001227373257279	0.0001086050644517	0.0001178048551083	0.0001755850389600
15	0.0001609694212675	0.0001142637804151	0.0001260917633772	0.0001691546291113
16	0.0001710647717118	0.0001254003494978	0.0001327371224761	0.0001800091937184
17	0.0001855656504631	0.0001322051510215	0.0001608617603779	0.0002191806212068
18	0.0001648578792810	0.0001440029591322	0.0001592552289367	0.0002415407449007
19	0.0001627914607525	0.0001727813854814	0.0001566000282764	0.0002407506108284
20	0.0001757945865393	0.0001592846587300	0.0001621590927243	0.0002294261008501
21	0.0001824742183089	0.0001676352694631	0.0001923993229866	0.0002386998385191
22	0.0001901738345623	0.0001769555732608	0.0002033744007349	0.0002272183075547
23	0.0002019902691245	0.0001794384792447	0.0002222793176770	0.0002673199400306
24	0.0002117676660419	0.0001880282536149	0.0002197600901127	0.0002666646614671
25	0.0002245318144560	0.0001984473317862	0.0002423882484436	0.0002579379826784
26	0.0002302195876837	0.0002845542505383	0.0002820730209351	0.0002396678552032
